Sale_ID,Customer_ID,Product_ID,Date,Quantity,Price,Discount
1001,C001,P001,2024-01-01,2,20.0,0.05
1002,C002,P002,2024-01-01,1,35.0,0.1
1003,C001,P003,2024-01-01,3,15.0,0.0
1004,C056,P005,2024-01-01,4,35.0,0.05
1005,C035,P050,2024-01-01,1,20.0,0.05928546752948102
1006,C048,P041,2024-01-01,6,33.5,0.03993929771839388
1007,C004,P021,2024-01-01,8,34.0,0.09819217136114543
1008,C147,P051,2024-01-01,7,31.5,0.08726022757733425
1009,C080,P039,2024-01-01,8,35.0,0.09010714971202768
1010,C062,P032,2024-01-01,9,48.0,0.019095897318409952
1011,C126,P014,2024-01-01,9,12.0,0.040831357880461674
1012,C095,P001,2024-01-01,7,30.0,0.02126943554530314
1013,C023,P009,2024-01-01,2,36.0,0.019283237085688344
1014,C101,P022,2024-01-01,4,54.0,0.03533801311428042
1015,C013,P038,2024-01-01,9,39.0,0.06941552651411717
1016,C015,P021,2024-01-01,6,34.0,0.08160833551269499
1017,C087,P044,2024-01-01,10,10.5,0.07673391134165675
1018,C039,P044,2024-01-01,10,10.5,0.02677781822260227
1019,C108,P009,2024-01-01,5,36.0,0.01989562207283645
1020,C017,P038,2024-01-01,5,39.0,0.0169169936310244
1021,C010,P001,2024-01-02,4,30.0,0.040034477598376285
1022,C104,P044,2024-01-02,3,10.5,0.08543812041733838
1023,C109,P036,2024-01-02,10,26.5,0.01454721380810936
1024,C016,P035,2024-01-02,6,63.0,0.05591131860741262
1025,C097,P032,2024-01-02,3,48.0,0.05172780126270132
1026,C105,P053,2024-01-02,4,22.5,0.07071575697063572
1027,C125,P042,2024-01-02,1,53.0,0.05750490069302694
1028,C072,P024,2024-01-02,7,11.0,0.022082542061933774
1029,C002,P022,2024-01-02,1,54.0,0.06426890557336826
1030,C144,P048,2024-01-02,4,44.5,0.07776277731800188
1031,C104,P045,2024-01-02,4,59.5,0.09949504703858912
1032,C118,P019,2024-01-02,5,38.0,0.009904742492718178
1033,C133,P017,2024-01-02,6,80.0,0.07121242678222232
1034,C061,P024,2024-01-02,1,11.0,0.023259281801140355
1035,C077,P005,2024-01-02,4,60.0,0.06520784194669423
1036,C143,P012,2024-01-02,4,44.0,0.020518303209085566
1037,C110,P032,2024-01-02,3,48.0,0.061097893734666876
1038,C034,P041,2024-01-02,10,33.5,0.037518675486436476
1039,C017,P019,2024-01-02,7,38.0,0.05590890103972428
1040,C123,P006,2024-01-02,2,25.0,0.09562712264541405
1041,C067,P001,2024-01-02,3,30.0,0.08737289789536558
1042,C047,P001,2024-01-02,9,30.0,0.04821961188661588
1043,C008,P036,2024-01-02,10,26.5,0.005467085497521451
1044,C017,P014,2024-01-03,7,12.0,0.009596833601529554
1045,C137,P005,2024-01-03,5,60.0,0.0028363242171596027
1046,C055,P045,2024-01-03,4,59.5,0.0561376228294376
1047,C097,P001,2024-01-03,6,30.0,0.06141409307718826
1048,C081,P025,2024-01-03,10,65.0,0.0989669300886804
1049,C006,P050,2024-01-03,10,17.5,0.07232275040504996
1050,C071,P034,2024-01-03,9,9.5,0.021532961444078902
1051,C041,P016,2024-01-03,6,26.0,0.007501016489686763
1052,C103,P037,2024-01-03,10,88.0,0.0030809029119354125
1053,C127,P026,2024-01-03,3,22.0,0.07211713213463959
1054,C087,P038,2024-01-03,10,39.0,0.02402733021696033
1055,C016,P003,2024-01-03,9,20.0,0.037597854326692985
1056,C031,P009,2024-01-03,6,36.0,0.053882061885030655
1057,C124,P026,2024-01-04,5,22.0,0.019326754270874526
1058,C039,P016,2024-01-04,6,26.0,0.06551318999383607
1059,C141,P022,2024-01-04,10,54.0,0.05265203719967139
1060,C103,P018,2024-01-04,5,43.0,0.087462517856033
1061,C037,P006,2024-01-04,2,25.0,0.04783740176417736
